Name,DOB,Gender,Aadhar_No,Father_Name,Address1,Address2,Address3,Address4,Address5
Latifi Nicolas,19/01/1995,Male,6622 2350 9284,Arun Sridhar,"942,21st Main Road","2nd Stage,Banashankari","Bangalore,530068",,
Gomati Ramanathan,5/9/1998,Female,2161 6729 3627  ,Dilip Gokhale,"2nd Floor,80 Feet Road","Near Big Bazaar,6th Block","Kathriguppe,3rd Stage","Banashankari,Bangalore",53006
Avanti Rout,26/08/1982,Male,8384 2795 9970,Deodan Patel,"1112,Next to KIMS Medical College","17th Cross,2nd Stage","Banashankari,Bangalore",530070,
Aruna Jha,10/11/2018,Female,6213 3631 4249,Mohan Khurana,"1st Floor,Annakuteera","3rd Stage,Banashankari","Bangalore,530071",,
Adhik Dara,21/04/1973,Male,1667 9750 5883,Chandraradj Sem,"10,3rd Floor","Lakshmi Associates,Gandhi Bazaar Main Road","Above Reliance Trends,Basavanagudi","Bangalore,530072",
Chanda Nagi,30/05/1971,Female,249 3285 1294,Karna Guha,"37,5-1","4th Floor,Bosco Court","Gandhi Bazaar Main Road,Basavanagudi","Bangalore,530073",
Karishma Wable,6/11/1995,Female,8580 3038 2541,Mahavir Rana,"19/1,New Timberyard Layout","Beside Satellite Bus Stop,Mysore Road","Bangalore,530074",,
Harshad Sarraf,8/4/2006,Female,3149 5544 800,Nitya Kannan,"2469,3rd Floor","24th Cross,Opposite BDA Complex","2nd Stage,Banashankari","Bangalore,530075",
Lakshman Yadav,10/8/1971,Female,2075 8515 6125,Madhavi Gara,"1,30th Main Road","3rd Stage,Banashankari","Bangalore,530076",,
Ajay Lall,14/11/2008,Female,2625 2331 7140,Abhilasha Patla,"2470,21 Main Road","25th Cross,Banashankari","Bangalore,530077",,
Bhavana Date,23/01/2002,Female,9621 6511 5606  ,Malati Batra,"12,29 Near PES University Back Gate","D'Souza Nagar,Hosakerehalli","3rd Stage,Banashankari","Bangalore,530078",
Mukesh Chacko,24/09/2009,Male,9899 6008 5332,Krishnaraja Ramaswamy,"941,3rd FLOOR","21st Main,22nd Cross","Banashankari 2nd stage,Opposite to BDA complex","Banashankari,530079",
Kshitij Vohra,9/6/2019,Male,3199 4778 9389,Minali Jayaraman,"6th Block,3rd Stage","Banashankari,Bangalore",530080,,
Dilip Barad,23/10/1972,Male,4658 6966 1990,Anila Thaman,"111,Sapphire Toys Building","100 Feet Ring Road,Banashankari","Bangalore,530081",,
Jeetendra Patil,17/07/2009,Female,4193 6111 819,Minali Prabhakar,"1112,Next to KIMS Medical College","17th Cross,2nd Stage","Banashankari,Bangalore",530082,
Manju Goyal,7/6/2007,Female,611 3211 9265,Ashok Dubey,"2303,21st Cross","K R Road,2nd Stage","Banashankari,Bangalore",530083,
Jagjit Nagarajan,18/10/1979,Male,1515 5551 5643,Jagannatha Deep,"241,4th Floor","100 Feet Ring Road,Opposite Kamakya Theatre","Banashankari,Bangalore",530084,
Gopal Raja,4/9/1987,Female,3684 6989 6402,Keshavan Toor,"405,24th Cross","9th Main,2nd Stage","Banashankari,Bangalore",530085,
Jagdish Narang,20/11/1998,Male,2498 2728 6494,Kanaman Shroff,"504,CJ Venkata Das Road","Padmanabhangar,2nd Stage","Banashankari,Bangalore",530086,
Drishti Bandi,13/12/1992,Male,9986 8228 9793,Kanta Raval,"47,48 &49","3Rd Floor,21st Main Road","2nd Stage,Banashankari","Bangalore,530087",
Girisha Nadig,20/09/2007,Male,5729 4446 3058  ,Dayanand Goel,"146,50 ft Road","3rd Phase,3rd Stage","Near Katriguppe Water Tank Circle,Banashankari","Bangalore,530088",
Manjusha Dugar,12/7/1990,Female,4573 9279 3235,Harsha Koshy,"3353,2nd Cross","Opposite Auden School,Hoskerehalli Cross","3rd Stage,Banashankari","Bangalore,530089",
Deodan Bora,21/01/1974,Male,3454 3811 1054,Itesh Kari,"SRF Complex,Near BDA Complex","Kathreguppe Main Road,Banashankari","Bangalore,530090",,
Aishwarya Dubey,22/04/2017,Female,6577 1342 0041  ,Girisha Maharaj,"224/Y,4th Phase","7th Block,100 Feet Ring Road","Near Kamakya Theatre,Banashankari","Bangalore,530091",
Aparajita Rege,9/1/1993,Male,730 2230 5301,Kausalya Kala,"775/1,Opposite Gupta Collage","7th Block,3rd Stage","Banashankari,Bangalore",530092,
Krishna Das,25/07/2009,Male,6394 7636 3284,Adhita Ratta,"101,Water Tank Road","2nd Block,3rd Stage","Banashankari,Bangalore",530093,
Mohan Kunda,18/03/1979,Female,5830 8497 2427  ,Dhaval Taneja,"27th Cross Rd,Banashankari Stage II","Banashankari,Bangalore",530094,,
Dipak Golla,27/11/1973,Female,3562 4645 2629  ,Manjika Bora,"1036,Srinidhi Plaza","3rd floor,Above Nilgiris","Stage 2,Banashankari","Bangalore,530095",
Aparajita Sem,18/01/1972,Male,4102 5454 0982  ,Gopalkrishna Mutti,"940,Shantha Complex","20th Main,2nd Stage","Banashankari,Bangalore",530096,
Kali Mani,8/9/1991,Male,6837 6877 7756  ,Leela Sathe,"112,Bull Temple Road","next to more Basavanagudi,Bangalore",530097,,
Jitinder Narain,13/10/2016,Male,5870 1801 7853,Mani Madan,"30,Surveyor Street","DVG Road,Basavanagudi","Bangalore,530098",,
Jayanta Luthra,8/7/1972,Female,8589 6282 5268,Manjula Kulkarni,"2/1,7th Main","Dwarakangar,Hosakeregalli","Banashankari,Bangalore",530099,
Kariyamna Swaminathan,6/5/1985,Female,3597 7125 2585  ,Kumari Memon,"101 Ground Floor,Manjunatha Complex","22nd Main Road,Banashankari","Bangalore,530100",,
Nidra Merchant,9/12/1982,Male,7950 1459 6537,Divya Prabhu,"101,Ground Floor","Manjunatha Complex,22nd Main Road","2nd Stage,Banashankari","Bangalore,530101",
