6622,2350,9284,,6622 2350 9284
2161 6729 3627,,,,2161 6729 3627  
8384,2795,9970,,8384 2795 9970
6213,3631,4249,,6213 3631 4249
1667,9750,5883,,1667 9750 5883
249,3285,1294,,249 3285 1294
8580,3038,2541,,8580 3038 2541
3149,5544,800,,3149 5544 800
2075,8515,6125,,2075 8515 6125
2625,2331,7140,,2625 2331 7140
9621 6511 5606,,,,9621 6511 5606  
9899,6008,5332,,9899 6008 5332
3199,4778,9389,,3199 4778 9389
4658,6966,1990,,4658 6966 1990
4193,6111,819,,4193 6111 819
611,3211,9265,,611 3211 9265
1515,5551,5643,,1515 5551 5643
3684,6989,6402,,3684 6989 6402
2498,2728,6494,,2498 2728 6494
9986,8228,9793,,9986 8228 9793
5729 4446 3058,,,,5729 4446 3058  
4573,9279,3235,,4573 9279 3235
3454,3811,1054,,3454 3811 1054
6577 1342 0041,,,,6577 1342 0041  
730,2230,5301,,730 2230 5301
6394,7636,3284,,6394 7636 3284
5830 8497 2427,,,,5830 8497 2427  
3562 4645 2629,,,,3562 4645 2629  
4102 5454 0982,,,,4102 5454 0982  
6837 6877 7756,,,,6837 6877 7756  
5870,1801,7853,,5870 1801 7853
8589,6282,5268,,8589 6282 5268
3597 7125 2585,,,,3597 7125 2585  
7950,1459,6537,,7950 1459 6537
3191,4360,1350,,3191 4360 1350
5893 7378 2799,,,,5893 7378 2799  
5383,9167,1172,,5383 9167 1172
1602,4374,7503,,1602 4374 7503
4542,2314,475,,4542 2314 475
5559 9426 3916,,,,5559 9426 3916  
4409,9109,985,,4409 9109 985
8730,5083,3227,,8730 5083 3227
3300,931,8388,,3300 931 8388
2407 2148 7453,,,,2407 2148 7453  
6316 5191 4857,,,,6316 5191 4857  
5252,2107,8328,,5252 2107 8328
7669,2182,5423,,7669 2182 5423
9376 9305 1251,,,,9376 9305 1251  
8763,8304,84,,8763 8304 84
4322 0446 4154,,,,4322 0446 4154  
8128,1396,7951,,8128 1396 7951
2127 9469 1096,,,,2127 9469 1096  
5465,6320,5020,,5465 6320 5020
2058,6244,7535,,2058 6244 7535
5573,788,3571,,5573 788 3571
9533 6945 2700,,,,9533 6945 2700  
8335 1786 6340,,,,8335 1786 6340  
1833 7039 5808,,,,1833 7039 5808  
4504 5948 0441,,,,4504 5948 0441  
1963,7906,6990,,1963 7906 6990
2627 6982 7928,,,,2627 6982 7928  
3984,9662,8526,,3984 9662 8526
6907 9926 3070,,,,6907 9926 3070  
7780,5943,9354,,7780 5943 9354
8563 8585 3725,,,,8563 8585 3725  
1647 2992 1592,,,,1647 2992 1592  
6930,4090,7834,,6930 4090 7834
6835,6406,520,,6835 6406 520
3629,4136,7657,,3629 4136 7657
4092,8390,1243,,4092 8390 1243
9584,9201,9782,,9584 9201 9782
7480,6152,9092,,7480 6152 9092
1528,4246,8748,,1528 4246 8748
6840 1550 7777,,,,6840 1550 7777  
1534 7393 0057,,,,1534 7393 0057  
7778,4411,5944,,7778 4411 5944
91,4838,4453,,91 4838 4453
9851 2041 4147,,,,9851 2041 4147  
2913,5645,7241,,2913 5645 7241
3299 3885 7430,,,,3299 3885 7430  
396,6776,7816,,396 6776 7816
1684,464,4693,,1684 464 4693
1017 5029 5506,,,,1017 5029 5506  
3697,3406,4364,,3697 3406 4364
4074,7372,991,,4074 7372 991
4771,3176,8289,,4771 3176 8289
3492,5684,720,,3492 5684 720
5057,4980,6731,,5057 4980 6731
5335 1321 9289,,,,5335 1321 9289  
9615,7817,7604,,9615 7817 7604
6790 0217 9540,,,,6790 0217 9540  
9233,7113,7861,,9233 7113 7861
2932,2136,8267,,2932 2136 8267
1314,2270,1803,,1314 2270 1803
7480 7932 9633,,,,7480 7932 9633  
2010,1889,7684,,2010 1889 7684
4391 3560 6883,,,,4391 3560 6883  
3119,2063,6381,,3119 2063 6381
7754 8354 1074,,,,7754 8354 1074  
4219 1441 7663,,,,4219 1441 7663  
3172,755,1928,,3172 755 1928
7073,7667,7567,,7073 7667 7567
7108 5237 4515,,,,7108 5237 4515  
2851,2310,3815,,2851 2310 3815
5107,7011,6413,,5107 7011 6413
3133,9246,129,,3133 9246 129
0352 3443 0027,,,,0352 3443 0027  
7583,1766,1567,,7583 1766 1567
9120 2241 1404,,,,9120 2241 1404  
1534,8176,2966,,1534 8176 2966
6989,4600,9333,,6989 4600 9333
2010,105,9680,,2010 105 9680
6896,9082,602,,6896 9082 602
7529 8921 3332,,,,7529 8921 3332  
5699,2164,640,,5699 2164 640
6176 5363 3205,,,,6176 5363 3205  
2358,9575,3996,,2358 9575 3996
5379,8523,2076,,5379 8523 2076
8894,2780,1051,,8894 2780 1051
4369,352,8037,,4369 352 8037
8348 7047 6746,,,,8348 7047 6746  
698,4539,5193,,698 4539 5193
8795,8320,3153,,8795 8320 3153
554,2705,1732,,554 2705 1732
6280 4115 0243,,,,6280 4115 0243  
5011,1212,517,,5011 1212 517
5518,2372,4750,,5518 2372 4750
5255 8331 4329,,,,5255 8331 4329  
7527,9690,3925,,7527 9690 3925
754,7319,7326,,754 7319 7326
8792,260,277,,8792 260 277
0410 0893 6192,,,,0410 0893 6192  
9993,5858,1242,,9993 5858 1242
318,8401,3864,,318 8401 3864
9375,7454,7491,,9375 7454 7491
9993 2083 9108,,,,9993 2083 9108  
1130,1240,795,,1130 1240 795
8377,4634,1888,,8377 4634 1888
7860,7132,5921,,7860 7132 5921
910,8382,6465,,910 8382 6465
6940,7740,6743,,6940 7740 6743
6682,7270,32,,6682 7270 32
4109 9101 3459,,,,4109 9101 3459  
3977 5096 9096,,,,3977 5096 9096  
76,5206,2207,,76 5206 2207
5640,4017,2597,,5640 4017 2597
721,5842,785,,721 5842 785
7130,1466,7510,,7130 1466 7510
5490,2308,1281,,5490 2308 1281
3160 9635 1252,,,,3160 9635 1252  
3467 5999 2890,,,,3467 5999 2890  
8984,6304,184,,8984 6304 184
174,9718,5480,,174 9718 5480
2526,7790,928,,2526 7790 928
5167,7064,6506,,5167 7064 6506
2283 0565 1280,,,,2283 0565 1280  
8639,3240,1247,,8639 3240 1247
6775,4587,3420,,6775 4587 3420
2879,524,1770,,2879 524 1770
7316,3498,1187,,7316 3498 1187
6503,5064,6941,,6503 5064 6941
4008,946,1624,,4008 946 1624
7040,3461,6032,,7040 3461 6032
5550,9324,6302,,5550 9324 6302
581,3937,1119,,581 3937 1119
1311 1271 9746,,,,1311 1271 9746  
3328,4078,2343,,3328 4078 2343
4294,7699,3657,,4294 7699 3657
4812,9725,6974,,4812 9725 6974
2039,9920,7844,,2039 9920 7844
2210,583,7929,,2210 583 7929
2985,1219,2709,,2985 1219 2709
9586,9642,94,,9586 9642 94
6525,4959,8218,,6525 4959 8218
5848,8308,1566,,5848 8308 1566
3006 1836 3816,,,,3006 1836 3816  
3167 0448 8399,,,,3167 0448 8399  
0495 3110 5720,,,,0495 3110 5720  
7819,1578,9154,,7819 1578 9154
2535,4456,9447,,2535 4456 9447
9699,743,3633,,9699 743 3633
6333,9773,3177,,6333 9773 3177
1706,9837,5455,,1706 9837 5455
8772,914,3582,,8772 914 3582
200,4122,2775,,200 4122 2775
4159 2290 4640,,,,4159 2290 4640  
414,1050,8200,,414 1050 8200
2695 1325 4699,,,,2695 1325 4699  
5407 7366 9737,,,,5407 7366 9737  
9841,873,342,,9841 873 342
8641,407,1061,,8641 407 1061
865,397,5839,,865 397 5839
8329,890,6463,,8329 890 6463
7475 3926 4439,,,,7475 3926 4439  
1407,2378,8034,,1407 2378 8034
6225 1859 3371,,,,6225 1859 3371  
7791,6586,3010,,7791 6586 3010
9706,6089,5363,,9706 6089 5363
7831,6132,8100,,7831 6132 8100
1984,1800,5179,,1984 1800 5179
1708,2454,2950,,1708 2454 2950
4625 9102 2255,,,,4625 9102 2255  
5139,5841,844,,5139 5841 844
5843,3868,2217,,5843 3868 2217
5728,5355,8771,,5728 5355 8771
4756 8307 7470,,,,4756 8307 7470  
4817,8695,4237,,4817 8695 4237
7300,6464,9487,,7300 6464 9487
6668,7309,2775,,6668 7309 2775
8718,7584,8374,,8718 7584 8374
8007,9995,8809,,8007 9995 8809
2259 2924 4290,,,,2259 2924 4290  
9466,1428,404,,9466 1428 404
2559 9479 0161,,,,2559 9479 0161  
4877 7397 0264,,,,4877 7397 0264  
4515,8600,196,,4515 8600 196
7558,3396,7835,,7558 3396 7835
4309,1006,1022,,4309 1006 1022
8183,6611,2333,,8183 6611 2333
1528,7143,8147,,1528 7143 8147
1671,5259,2088,,1671 5259 2088
5392,1349,3219,,5392 1349 3219
