,Name,DOB,Gender,Father_Name
0,LaÃ¯li Dar,19/01/1995,Male,Arun Sridhar
1,Gomati Ramanathan,5/9/1998,Female,Dilip Gokhale
2,Avanti Rout,26/08/1982,Male,Deodan Patel
3,Aruna Jha,10/11/2018,Female,Mohan Khurana
4,Adhik Dara,21/04/1973,Male,Chandraradj Sem
5,Chanda Nagi,30/05/1971,Female,Karna Guha
6,Karishma Wable,6/11/1995,Female,Mahavir Rana
7,Harshad Sarraf,8/4/2006,Female,Nitya Kannan
8,Lakshman Yadav,10/8/1971,Female,Madhavi Gara
9,Ajay Lall,14/11/2008,Female,Abhilasha Patla
10,Bhavana Date,23/01/2002,Female,Malati Batra
11,Mukesh Chacko,24/09/2009,Male,Krishnaraja Ramaswamy
12,Kshitij Vohra,9/6/2019,Male,Minali Jayaraman
13,Dilip Barad,23/10/1972,Male,Anila Thaman
14,Jeetendra Patil,17/07/2009,Female,Minali Prabhakar
15,Manju Goyal,7/6/2007,Female,Ashok Dubey
16,Jagjit Nagarajan,18/10/1979,Male,Jagannatha Deep
17,Gopal Raja,4/9/1987,Female,Keshavan Toor
18,Jagdish Narang,20/11/1998,Male,Kanaman Shroff
19,Drishti Bandi,13/12/1992,Male,Kanta Raval
20,Girisha Nadig,20/09/2007,Male,Dayanand Goel
21,Manjusha Dugar,12/7/1990,Female,Harsha Koshy
22,Deodan Bora,21/01/1974,Male,Itesh Kari
23,Aishwarya Dubey,22/04/2017,Female,Girisha Maharaj
24,Aparajita Rege,9/1/1993,Male,Kausalya Kala
25,Krishna Das,25/07/2009,Male,Adhita Ratta
26,Mohan Kunda,18/03/1979,Female,Dhaval Taneja
27,Dipak Golla,27/11/1973,Female,Manjika Bora
28,Aparajita Sem,18/01/1972,Male,Gopalkrishna Mutti
29,Kali Mani,8/9/1991,Male,Leela Sathe
30,Jitinder Narain,13/10/2016,Male,Mani Madan
31,Jayanta Luthra,8/7/1972,Female,Manjula Kulkarni
32,Kariyamna Swaminathan,6/5/1985,Female,Kumari Memon
33,Nidra Merchant,9/12/1982,Male,Divya Prabhu
34,Manisha Natarajan,28/06/1985,Female,Narayana Gala
35,Jayanta lastname,26/07/2006,Male,Nirmal Bhatia
36,Malini Goyal,10/9/1994,Female,LaÃ¯li Cherian
37,Lalit Bhagat,21/05/2000,Female,Kalika Meka
38,Gita Sehgal,12/3/1990,Male,Adita Sekhon
39,Mukesh Savant,14/05/2008,Male,Laxman Sood
40,Arya Srivastava,27/12/1980,Female,Arjuna Mukherjee
41,Jiva Mishra,23/07/2021,Male,Karuna Pingle
42,Daya Magar,8/1/1985,Male,Chandrakant Dave
43,Narayan Kunda,27/05/2000,Female,Anupam Dey
